path,dataset_source,class_label,width,height,aspect_ratio,format,file_size_bytes,md5_hash,sha256,quality_score,phash,quality_flag,blur_score,resolution_ok,aspect_ratio_ok,cluster_id,split,export_path
data_sources/ai_generated/Synthbuster/dalle2__r002fc3e2t.png,data_sources/ai_generated/Synthbuster,ai_generated,1024,1024,1.0,PNG,3147977,f8dfafd9b2b7f543a9e1da171bafdea4,94b59b743c05e58448fba269826eebb72b6ee88bd9c37549fd779e923be540ed,1.0,ce0977b21d6805fc,ok,556.5807087636339,True,True,cluster_02040,test,/home/dheirav/Code/Deepfake_Detection/deepfake-project/dataset_builder/test/ai_generated/dalle2__r002fc3e2t.png
data_sources/ai_generated/Synthbuster/dalle2__r00444b95t.png,data_sources/ai_generated/Synthbuster,ai_generated,1024,1024,1.0,PNG,3147977,8394fae2dcfbf35ca5139b2164f204ab,a825f881f1dd3697a7c207ed43ad14df67135db0f6a8e3259bf2ebcf2483b5fd,1.0,d7d14a2d8a961e87,ok,512.4721917814667,True,True,cluster_02041,test,/home/dheirav/Code/Deepfake_Detection/deepfake-project/dataset_builder/test/ai_generated/dalle2__r00444b95t.png
data_sources/ai_generated/Synthbuster/dalle2__r00617aa1t.png,data_sources/ai_generated/Synthbuster,ai_generated,1024,1024,1.0,PNG,3147977,843a8bbb91c2b87d513563fc612ec1ee,f252ed7848f0c388685ad926795cac8ff9898c9de0d2eb3388ac54cd17b935ba,1.0,992eb15a0bbec433,ok,369.0417811163487,True,True,cluster_02043,test,/home/dheirav/Code/Deepfake_Detection/deepfake-project/dataset_builder/test/ai_generated/dalle2__r00617aa1t.png
data_sources/ai_generated/Synthbuster/dalle2__r00816405t.png,data_sources/ai_generated/Synthbuster,ai_generated,1024,1024,1.0,PNG,3147977,de4e242eb4fb8ebcac79720e4f94052d,60154b88c8a2cd351b9df6c9990e75b9df96676d2b5c0e733f4d15ebbae0996d,1.0,aaa5dddacb4ba300,ok,1029.4074527555495,True,True,cluster_02048,test,/home/dheirav/Code/Deepfake_Detection/deepfake-project/dataset_builder/test/ai_generated/dalle2__r00816405t.png
data_sources/ai_generated/Synthbuster/dalle2__r008a2095t.png,data_sources/ai_generated/Synthbuster,ai_generated,1024,1024,1.0,PNG,3147977,e0004b6d45da54ff0b0cde8d41917e5d,da047f832084ecf47c6b6e54c503961bdcfcf3f463235d8d292dfa874fffd3d3,1.0,81817f3ba3e0e2c7,ok,1924.3822020358703,True,True,cluster_02051,test,/home/dheirav/Code/Deepfake_Detection/deepfake-project/dataset_builder/test/ai_generated/dalle2__r008a2095t.png
data_sources/ai_generated/Synthbuster/dalle2__r00b8d4a2t.png,data_sources/ai_generated/Synthbuster,ai_generated,1024,1024,1.0,PNG,3147977,d4b7f3b96a9712e6b30ba5f56d3e6f29,00e405bf6862cc35e69578f408cc9247606f896a7b6690ee62577df97892370d,1.0,a626d127d827789b,ok,441.32511140953903,True,True,cluster_02055,test,/home/dheirav/Code/Deepfake_Detection/deepfake-project/dataset_builder/test/ai_generated/dalle2__r00b8d4a2t.png
data_sources/ai_generated/Synthbuster/dalle2__r00c0995ft.png,data_sources/ai_generated/Synthbuster,ai_generated,1024,1024,1.0,PNG,3147977,12d36438eba47cb8fdded4bdaf6cb1a1,123d09a8c362fd43ff332ceb05e42cd77eabae8cf4ce0e8384383f9f4c7332e8,1.0,a9b6d15a4b494e6a,ok,91.08021443655798,True,True,cluster_02056,test,/home/dheirav/Code/Deepfake_Detection/deepfake-project/dataset_builder/test/ai_generated/dalle2__r00c0995ft.png
data_sources/ai_generated/Synthbuster/dalle2__r01058910t.png,data_sources/ai_generated/Synthbuster,ai_generated,1024,1024,1.0,PNG,3147977,339f6afbf4f5ca8d92c6ead980d7fd7a,3f6250c25877ed16c62e1aaaa62c30086b29939139d8eb0622484699bbb9a3c5,1.0,d351575efbcac080,ok,849.7720268708932,True,True,cluster_02059,test,/home/dheirav/Code/Deepfake_Detection/deepfake-project/dataset_builder/test/ai_generated/dalle2__r01058910t.png
data_sources/ai_generated/Synthbuster/dalle2__r010cb248t.png,data_sources/ai_generated/Synthbuster,ai_generated,1024,1024,1.0,PNG,3147977,0d8c404350621d1aa058601406a72a64,953bfd85fd7c53b0cace4911db633402af02529474e5d05b85c31b496c97fe9a,1.0,c843e7761b6b492c,ok,883.8220809872108,True,True,cluster_02061,test,/home/dheirav/Code/Deepfake_Detection/deepfake-project/dataset_builder/test/ai_generated/dalle2__r010cb248t.png
data_sources/ai_generated/Synthbuster/dalle2__r01291f20t.png,data_sources/ai_generated/Synthbuster,ai_generated,1024,1024,1.0,PNG,3147977,c4784e0c50f4fd673fafb5931cb94273,9571926c815c2f60fdcce6feffa66c42633e04e0d8c0438dbd7501d051ca82ad,1.0,8393c3c54776663a,ok,124.17945097736083,True,True,cluster_02063,test,/home/dheirav/Code/Deepfake_Detection/deepfake-project/dataset_builder/test/ai_generated/dalle2__r01291f20t.png
