epoch,train_loss,train_acc,val_loss,val_acc,val_f1_macro,f1_real,f1_ai_gen,f1_ai_edit
1,0.275769,0.777315,0.191548,0.854162,0.853639,0.781275,0.948508,0.831134
2,0.169147,0.872142,0.177236,0.86513,0.866003,0.808338,0.950964,0.838706
3,0.12777,0.908412,0.171225,0.876483,0.877019,0.823031,0.960964,0.847062
4,0.097363,0.936055,0.203099,0.867658,0.868135,0.825352,0.957671,0.821381
5,0.074463,0.956547,0.213834,0.882267,0.882197,0.833248,0.965203,0.848138
6,0.056487,0.971074,0.237333,0.872199,0.872718,0.829087,0.962109,0.826959
7,0.049336,0.975435,0.265029,0.87704,0.877658,0.825721,0.965468,0.841783
8,0.040214,0.982619,0.328613,0.869714,0.869758,0.824626,0.962839,0.821809
9,0.035961,0.984318,0.284682,0.880039,0.880492,0.827463,0.966476,0.847538
10,0.032444,0.986916,0.2849,0.876141,0.875083,0.824299,0.952113,0.848839
11,0.028726,0.989706,0.300491,0.879354,0.879205,0.821069,0.970205,0.84634
12,0.025993,0.991309,0.308311,0.883638,0.883435,0.839861,0.970891,0.839553
13,0.023862,0.992528,0.321334,0.883253,0.882482,0.834879,0.968715,0.843851
14,0.022185,0.99333,0.328413,0.883767,0.883092,0.834111,0.96441,0.850755
15,0.02107,0.994388,0.314923,0.888694,0.888585,0.842524,0.971838,0.851394
16,0.019427,0.995029,0.32611,0.887194,0.886792,0.832417,0.974418,0.853541
17,0.018663,0.995799,0.33698,0.884666,0.884073,0.828093,0.972956,0.85117
18,0.018045,0.996376,0.325052,0.887408,0.887107,0.835899,0.973028,0.852394
19,0.017471,0.996761,0.326931,0.889079,0.888808,0.84076,0.973128,0.852535
20,0.017314,0.996569,0.327797,0.889079,0.888772,0.839902,0.973135,0.85328
21,0.102786,0.936055,0.231998,0.866073,0.867006,0.814348,0.956448,0.830223
22,0.061177,0.965847,0.259096,0.867058,0.866729,0.805247,0.961595,0.833344
23,0.04763,0.975307,0.25223,0.876569,0.876231,0.820207,0.964754,0.843732
24,0.045665,0.977905,0.270806,0.871985,0.871362,0.813723,0.961487,0.838877
25,0.03984,0.981881,0.379115,0.845422,0.846149,0.777299,0.938896,0.822253
26,0.044477,0.97784,0.296126,0.868429,0.86869,0.80525,0.960251,0.840569
27,0.042713,0.97877,0.249531,0.870657,0.871052,0.823275,0.959555,0.830327
28,0.040153,0.981657,0.235696,0.876655,0.876657,0.824573,0.963662,0.841737
29,0.035447,0.984799,0.31569,0.872799,0.872043,0.80888,0.96848,0.838769
