epoch,train_loss,train_acc,val_loss,val_acc,val_f1_macro,f1_real,f1_ai_gen,f1_ai_edit
1,0.320705,0.730751,0.229224,0.81826,0.817388,0.726326,0.923409,0.802429
2,0.225279,0.816086,0.200686,0.843966,0.845188,0.781886,0.937215,0.816464
3,0.180381,0.860501,0.191459,0.845893,0.847914,0.788872,0.927997,0.826875
4,0.147025,0.891415,0.20095,0.854591,0.855861,0.798588,0.942137,0.826858
5,0.118927,0.916621,0.223352,0.859775,0.859988,0.800792,0.950581,0.82859
6,0.098439,0.934195,0.252235,0.855105,0.856416,0.803455,0.946198,0.819595
7,0.08151,0.948947,0.260684,0.854119,0.855398,0.801299,0.943669,0.821226
8,0.068299,0.95876,0.258515,0.862131,0.862636,0.806486,0.953443,0.82798
9,0.056151,0.968156,0.301321,0.862002,0.861628,0.801512,0.954577,0.828796
10,0.048828,0.975403,0.324365,0.857076,0.857848,0.799417,0.949128,0.825
11,0.044938,0.977552,0.304977,0.859903,0.860682,0.805447,0.947286,0.829313
12,0.038363,0.982907,0.314493,0.861488,0.861936,0.807524,0.953743,0.824542
13,0.033805,0.985665,0.3405,0.857076,0.856563,0.795773,0.947643,0.826273
14,0.029672,0.98791,0.338236,0.863888,0.86384,0.809466,0.956226,0.825826
15,0.027251,0.990572,0.37048,0.861703,0.862286,0.805155,0.952703,0.829
16,0.027024,0.990636,0.353366,0.865173,0.864744,0.803332,0.958771,0.832131
17,0.024265,0.992656,0.381534,0.861788,0.860892,0.795328,0.957219,0.83013
18,0.023818,0.991662,0.368697,0.865901,0.865714,0.808862,0.957223,0.831056
19,0.023232,0.993105,0.362818,0.865944,0.865893,0.808609,0.958515,0.830554
20,0.022153,0.993907,0.364577,0.866158,0.866154,0.809524,0.957728,0.831209
21,0.102477,0.932816,0.297518,0.837154,0.837323,0.766647,0.941176,0.804145
22,0.075097,0.953885,0.294541,0.846793,0.8471,0.78098,0.940915,0.819405
23,0.066266,0.959978,0.299216,0.845337,0.847251,0.790194,0.931677,0.819881
24,0.057269,0.967097,0.324431,0.84011,0.8389,0.755397,0.947061,0.814242
25,0.057893,0.967322,0.347298,0.843923,0.844948,0.77798,0.939977,0.816886
26,0.055242,0.967162,0.359528,0.834369,0.836427,0.77603,0.920545,0.812705
27,0.049977,0.971491,0.330904,0.844223,0.844619,0.785946,0.939689,0.808224
28,0.05181,0.970593,0.363468,0.842252,0.840946,0.759524,0.945915,0.817399
29,0.050036,0.971715,0.364674,0.845893,0.846608,0.794041,0.937528,0.808253
30,0.049646,0.973704,0.370544,0.840752,0.841881,0.781293,0.935626,0.808725
