epoch,train_loss,train_acc,val_loss,val_acc,val_f1_macro,f1_real,f1_ai_gen,f1_ai_edit
1,0.292714,0.75724,0.224525,0.831155,0.833005,0.768432,0.913958,0.816624
2,0.168014,0.875092,0.194357,0.854762,0.855644,0.799123,0.946289,0.821521
3,0.119091,0.920373,0.22113,0.843751,0.844932,0.788301,0.932558,0.813938
4,0.082665,0.953404,0.241616,0.855747,0.856901,0.802522,0.949295,0.818886
5,0.064023,0.966809,0.238183,0.862688,0.863188,0.807579,0.952492,0.829494
6,0.050734,0.977199,0.261518,0.858532,0.858241,0.797484,0.954659,0.822581
7,0.043403,0.982555,0.265087,0.853819,0.854974,0.796746,0.94669,0.821486
8,0.03703,0.985345,0.305984,0.859817,0.859689,0.802392,0.949001,0.827675
9,0.030885,0.989481,0.303708,0.865387,0.865362,0.811257,0.956511,0.828317
10,0.026334,0.992015,0.302586,0.863116,0.862643,0.803474,0.953727,0.830728
11,0.02376,0.993779,0.306061,0.865173,0.865616,0.810225,0.955862,0.830761
12,0.023387,0.99365,0.285353,0.867229,0.867382,0.809883,0.957717,0.834544
13,0.020857,0.99535,0.303483,0.86663,0.866809,0.810887,0.95609,0.833451
14,0.019891,0.995607,0.308724,0.868386,0.868443,0.814189,0.957471,0.833669
15,0.018705,0.996376,0.313365,0.870785,0.870797,0.818199,0.958732,0.83546
16,0.018024,0.996505,0.306919,0.869757,0.869845,0.816798,0.959075,0.833661
17,0.017453,0.997146,0.309066,0.869971,0.869912,0.817579,0.957685,0.834472
18,0.016949,0.997563,0.308025,0.867872,0.868331,0.813349,0.957785,0.83386
19,0.016844,0.997627,0.30691,0.871428,0.871606,0.819154,0.959876,0.835788
20,0.016751,0.997755,0.306999,0.869843,0.869794,0.813047,0.96091,0.835424
21,0.124458,0.919026,0.253115,0.84675,0.847031,0.781153,0.943453,0.816488
22,0.068867,0.962159,0.249942,0.859303,0.859701,0.804133,0.949767,0.825204
23,0.04927,0.977071,0.289605,0.857632,0.858386,0.801391,0.951859,0.821909
24,0.042816,0.980278,0.287883,0.86633,0.866608,0.811059,0.957865,0.8309
25,0.037803,0.983517,0.308719,0.856133,0.856431,0.804462,0.953991,0.81084
26,0.036482,0.984831,0.313827,0.855833,0.856179,0.791372,0.951068,0.826098
