epoch,train_loss,train_acc,val_loss,val_acc,val_f1_macro,f1_real,f1_ai_gen,f1_ai_edit
1,0.487208,0.699131,0.393686,0.788955,0.789448,0.730712,0.884297,0.753335
2,0.37134,0.78158,0.341064,0.805835,0.808042,0.737551,0.902441,0.784135
3,0.324003,0.817978,0.355372,0.816974,0.814894,0.730951,0.905715,0.808015
4,0.286012,0.84498,0.328538,0.825843,0.826305,0.751793,0.913444,0.813677
5,0.251784,0.86762,0.345566,0.818945,0.819314,0.733427,0.91784,0.806675
6,0.219026,0.891864,0.36908,0.826614,0.82509,0.757085,0.916461,0.801725
7,0.188834,0.911619,0.368527,0.831755,0.833501,0.765018,0.921098,0.814386
8,0.16573,0.927717,0.390232,0.828799,0.828975,0.748715,0.927,0.81121
9,0.147448,0.939486,0.439428,0.82897,0.826761,0.756603,0.919958,0.803722
10,0.127561,0.951961,0.416592,0.837239,0.837204,0.763644,0.93421,0.813757
11,0.109383,0.962191,0.449552,0.837496,0.837571,0.774659,0.930161,0.807893
12,0.101061,0.966809,0.451814,0.836125,0.834844,0.768711,0.924699,0.811123
13,0.091241,0.972517,0.463041,0.836297,0.834996,0.761592,0.931966,0.811431
14,0.082208,0.97877,0.473506,0.841181,0.842263,0.784579,0.931503,0.810707
15,0.075945,0.982362,0.488743,0.841866,0.841054,0.773618,0.93488,0.814663
16,0.070053,0.985537,0.503274,0.839467,0.839062,0.767342,0.936047,0.813797
17,0.066206,0.987429,0.512806,0.839853,0.839509,0.773061,0.934126,0.811339
18,0.064498,0.98884,0.50479,0.841995,0.841975,0.777657,0.934395,0.813874
19,0.061942,0.989353,0.499092,0.842809,0.843159,0.779348,0.937746,0.812383
20,0.060921,0.990315,0.506872,0.842338,0.842292,0.778858,0.935753,0.812265
21,0.178668,0.918577,0.439125,0.817274,0.818533,0.760031,0.91945,0.776117
22,0.163885,0.929737,0.451653,0.816375,0.814479,0.726997,0.915884,0.800557
23,0.14257,0.942276,0.492784,0.819973,0.818703,0.744853,0.913388,0.797868
24,0.138677,0.944906,0.491577,0.817274,0.819531,0.754317,0.910899,0.793378
25,0.128126,0.952089,0.514057,0.817403,0.815414,0.756669,0.904817,0.784757
26,0.125083,0.9535,0.447359,0.819931,0.820652,0.752168,0.911867,0.797921
