epoch,train_loss,train_acc,val_loss,val_acc,val_f1_macro,f1_real,f1_ai_gen,f1_ai_edit
1,0.282148,0.765289,0.188218,0.858361,0.858702,0.803256,0.946859,0.82599
2,0.174405,0.865375,0.174791,0.865473,0.865354,0.799026,0.958035,0.839002
3,0.141216,0.895616,0.182535,0.872927,0.871286,0.806275,0.962211,0.845373
4,0.118114,0.917808,0.184074,0.854376,0.856502,0.805427,0.932103,0.831977
5,0.101734,0.930956,0.20023,0.873699,0.872475,0.809914,0.957527,0.849985
6,0.082431,0.948273,0.213257,0.879868,0.879243,0.834338,0.965391,0.837999
7,0.070043,0.958888,0.203822,0.882396,0.882189,0.825084,0.96873,0.852752
8,0.058136,0.968797,0.222545,0.885395,0.884882,0.840691,0.967169,0.846785
9,0.050962,0.974537,0.274542,0.878497,0.877859,0.820315,0.963709,0.849553
10,0.045211,0.979476,0.231658,0.886637,0.887258,0.842196,0.967398,0.852181
11,0.03846,0.983773,0.254648,0.885138,0.884765,0.829982,0.971147,0.853167
12,0.034569,0.98682,0.248533,0.888265,0.888532,0.843627,0.969971,0.851998
13,0.02995,0.989674,0.284353,0.889765,0.88934,0.842058,0.971774,0.85419
14,0.028281,0.990251,0.293646,0.891436,0.890975,0.845607,0.972397,0.854921
15,0.024271,0.993394,0.306389,0.889551,0.888806,0.833277,0.974264,0.858875
16,0.021724,0.994612,0.3236,0.892935,0.892715,0.845172,0.974303,0.85867
17,0.021591,0.994612,0.309672,0.89542,0.895201,0.848524,0.975775,0.861303
18,0.018484,0.996408,0.315715,0.894863,0.894656,0.849673,0.975541,0.858753
19,0.018564,0.996537,0.317745,0.894435,0.894149,0.848839,0.975268,0.85834
20,0.018248,0.99644,0.32043,0.894606,0.894296,0.848384,0.975019,0.859486
21,0.11779,0.922394,0.200587,0.875712,0.874881,0.814341,0.965478,0.844824
22,0.080905,0.950967,0.207323,0.872371,0.87345,0.816564,0.95759,0.846197
23,0.069269,0.959946,0.241396,0.871428,0.872698,0.82688,0.956137,0.835076
24,0.063718,0.965013,0.233677,0.874341,0.875124,0.82144,0.954229,0.849702
