epoch,train_loss,train_acc,val_loss,val_acc,val_f1_macro,f1_real,f1_ai_gen,f1_ai_edit
1,0.758864,0.679216,0.63048,0.758151,0.757336,0.728966,0.874091,0.668949
2,0.593091,0.757368,0.601543,0.769033,0.769996,0.734262,0.882381,0.693346
3,0.511139,0.802008,0.597244,0.762649,0.763121,0.726611,0.887188,0.675565
4,0.442749,0.837315,0.633696,0.803779,0.804899,0.758998,0.896338,0.759361
5,0.390802,0.863002,0.665763,0.808063,0.809249,0.754166,0.906285,0.767296
6,0.335643,0.891672,0.66323,0.777944,0.782946,0.734495,0.858393,0.755948
7,0.24686,0.933233,0.688916,0.823487,0.824495,0.76569,0.917646,0.79015
8,0.21443,0.947792,0.671818,0.817703,0.82028,0.764102,0.909226,0.787513
9,0.198203,0.956611,0.701913,0.815989,0.818453,0.756613,0.910412,0.788335
10,0.170459,0.970401,0.6699,0.825243,0.827175,0.772509,0.91778,0.791237
11,0.156844,0.975211,0.692821,0.822244,0.824165,0.766126,0.917093,0.789276
12,0.151229,0.977969,0.698822,0.825629,0.827512,0.768922,0.917243,0.796372
13,0.145211,0.980246,0.682242,0.825714,0.827669,0.772698,0.917376,0.792934
14,0.137383,0.983324,0.694698,0.828285,0.82996,0.772276,0.919134,0.79847
15,0.13737,0.983388,0.682221,0.826528,0.828397,0.773415,0.918363,0.793411
16,0.130783,0.984671,0.675139,0.825115,0.827081,0.773898,0.916761,0.790583
17,0.129942,0.985601,0.689955,0.824943,0.826977,0.769461,0.916273,0.795198
